Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
117	E21	FALSO	8505 overgal3	IL5RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
118	E22	FALSO	8505 overgal3	NAMPT	UNKNOWN	SYBR	None							26.212	26.212						VERO	0.127	VERO	1	40		77.407			N	N	N	N		
119	E23	FALSO	8505 overgal3	TNFSF13	UNKNOWN	SYBR	None							34.003	34.003						VERO	0.04	VERO	1	40		87.003			N	N	N	Y		
120	E24	FALSO	8505 overgal3	PCR	UNKNOWN	SYBR	None							20.659	20.659						VERO	0.137	VERO	1	40		78.065			N	N	N	N		
121	F1	FALSO	8505 ut	CCL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
122	F2	FALSO	8505 ut	CCL22	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
123	F3	FALSO	8505 ut	CCL8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
124	F4	FALSO	8505 ut	CD40LG	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.976			N	Y	Y	Y		
125	F5	FALSO	8505 ut	CXCL11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.892			N	Y	N	Y		
126	F6	FALSO	8505 ut	CXCLR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
127	F7	FALSO	8505 ut	IL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.041	VERO	1	40		61.765			N	Y	Y	N		
128	F8	FALSO	8505 ut	IL1R1	UNKNOWN	SYBR	None							29.389	29.389						VERO	0.13	VERO	1	40		80.825			N	N	N	N		
129	F9	FALSO	8505 ut	IL7	UNKNOWN	SYBR	None							24.691	24.691						VERO	0.12	VERO	1	40		77.013			N	N	N	N		
130	F10	FALSO	8505 ut	OSM	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.976			N	Y	Y	Y		
131	F11	FALSO	8505 ut	TNFSF13B	UNKNOWN	SYBR	None							31.829	31.829						VERO	0.215	VERO	1	40		81.877			N	N	N	N		
132	F12	FALSO	8505 ut	RQ1	UNKNOWN	SYBR	None							21.563	21.563						VERO	0.128	VERO	1	40		83.06			N	N	N	N		
133	F13	FALSO	8505 overgal3	CCL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
134	F14	FALSO	8505 overgal3	CCL22	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.075			N	Y	Y	Y		
135	F15	FALSO	8505 overgal3	CCL8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.892			N	Y	Y	Y		
136	F16	FALSO	8505 overgal3	CD40LG	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.76			N	Y	Y	Y		
137	F17	FALSO	8505 overgal3	CXCL11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.549			N	Y	Y	Y		
138	F18	FALSO	8505 overgal3	CXCLR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.76			N	Y	Y	Y		
139	F19	FALSO	8505 overgal3	IL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.041	VERO	1	40		67.286			N	Y	Y	N		
140	F20	FALSO	8505 overgal3	IL1R1	UNKNOWN	SYBR	None							34.574	34.574						VERO	0.13	VERO	1	40		80.299			N	N	N	N		
141	F21	FALSO	8505 overgal3	IL7	UNKNOWN	SYBR	None							29.184	29.184						VERO	0.12	VERO	1	40		76.619			N	N	N	N		
142	F22	FALSO	8505 overgal3	OSM	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.629			N	Y	Y	Y		
143	F23	FALSO	8505 overgal3	TNFSF13B	UNKNOWN	SYBR	None							34.748	34.748						VERO	0.215	VERO	1	40		81.351			N	N	N	N		
144	F24	FALSO	8505 overgal3	RQ1	UNKNOWN	SYBR	None							26.95	26.95						VERO	0.128	VERO	1	40		82.534			N	N	N	N		
145	G1	FALSO	8505 ut	CCl11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.577			N	Y	Y	Y		
146	G2	FALSO	8505 ut	CCL23	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
147	G3	FALSO	8505 ut	CCR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
148	G4	FALSO	8505 ut	CSF1	UNKNOWN	SYBR	None							27.505	27.505						VERO	0.133	VERO	1	40		78.459			N	N	N	N		
149	G5	FALSO	8505 ut	CXCL12	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.976			N	Y	Y	Y		
150	G6	FALSO	8505 ut	CXCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.765			N	Y	Y	Y		
151	G7	FALSO	8505 ut	IL15	UNKNOWN	SYBR	None							24.412	24.412						VERO	0.138	VERO	1	40		77.276			N	N	N	N		
152	G8	FALSO	8505 ut	IL1RN	UNKNOWN	SYBR	None							35.491	35.491						VERO	0.288	VERO	1	40		82.402			N	N	N	N		
153	G9	FALSO	8505 ut	IL8	UNKNOWN	SYBR	None							21.324	21.324						VERO	0.129	VERO	1	40		80.825			N	N	N	N		
154	G10	FALSO	8505 ut	RPLP0	UNKNOWN	SYBR	None							16.569	16.569						VERO	0.124	VERO	1	40		82.797			N	N	N	N		
155	G11	FALSO	8505 ut	TNFSF4	UNKNOWN	SYBR	None							27.283	27.283						VERO	0.097	VERO	1	40		79.379			N	N	N	N		
156	G12	FALSO	8505 ut	RQ2	UNKNOWN	SYBR	None							21.473	21.473						VERO	0.151	VERO	1	40		83.454			N	N	N	N		
157	G13	FALSO	8505 overgal3	CCl11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.155			N	Y	Y	Y		
158	G14	FALSO	8505 overgal3	CCL23	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
159	G15	FALSO	8505 overgal3	CCR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
160	G16	FALSO	8505 overgal3	CSF1	UNKNOWN	SYBR	None							30.775	30.775						VERO	0.133	VERO	1	40		78.065			N	N	N	N		
161	G17	FALSO	8505 overgal3	CXCL12	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
162	G18	FALSO	8505 overgal3	CXCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.68			N	Y	Y	Y		
163	G19	FALSO	8505 overgal3	IL15	UNKNOWN	SYBR	None							28.654	28.654						VERO	0.138	VERO	1	40		76.882			N	N	N	N		
164	G20	FALSO	8505 overgal3	IL1RN	UNKNOWN	SYBR	None							Undetermined							VERO	0.288	VERO	1	40		60.714			N	Y	Y	N		
165	G21	FALSO	8505 overgal3	IL8	UNKNOWN	SYBR	None							26.347	26.347						VERO	0.129	VERO	1	40		80.431			N	N	N	N		
166	G22	FALSO	8505 overgal3	RPLP0	UNKNOWN	SYBR	None							24.8	24.8						VERO	0.124	VERO	1	40		82.402			N	N	N	N		
167	G23	FALSO	8505 overgal3	TNFSF4	UNKNOWN	SYBR	None							Undetermined							VERO	0.097	VERO	1	40		65.972			N	Y	Y	N		
168	G24	FALSO	8505 overgal3	RQ2	UNKNOWN	SYBR	None							34.325	34.325						VERO	0.151	VERO	1	40		83.06			N	N	N	N		
169	H1	FALSO	8505 ut	CCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.972			N	Y	Y	Y		
170	H2	FALSO	8505 ut	CCL24	UNKNOWN	SYBR	None							39.167	39.167						VERO	0.04	VERO	1	40		77.013			N	N	N	Y		
171	H3	FALSO	8505 ut	CCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
172	H4	FALSO	8505 ut	CSF2	UNKNOWN	SYBR	None							30.217	30.217						VERO	0.097	VERO	1	40		83.848			N	N	N	N		
173	H5	FALSO	8505 ut	CXCL13	UNKNOWN	SYBR	None							38.635	38.635						VERO	0.04	VERO	1	40		60.976			N	N	N	Y		
